Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-07,,,
Filter Frequency,2e+08,,,
Record Length,125000,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,1,,1,
Label,,,,
TIME,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
-3.00000e-02,0,0.08,3.3,3.38
-2.99992e-02,0,-0.04,3.34,3.26
-2.99984e-02,0.04,0.08,3.34,3.38
-2.99976e-02,0.04,-0.04,3.3,3.26
-2.99968e-02,0,0.08,3.3,3.38
-2.99960e-02,0.08,-0.04,3.34,3.26
-2.99952e-02,0,0.08,3.34,3.38
-2.99944e-02,0,-0.04,3.34,3.26
-2.99936e-02,0,0.08,3.3,3.38
-2.99928e-02,0,-0.04,3.3,3.26
-2.99920e-02,0,0.08,3.34,3.38
-2.99912e-02,0,-0.04,3.34,3.26
-2.99904e-02,0,0.08,3.34,3.38
-2.99896e-02,0.04,-0.04,3.3,3.3
-2.99888e-02,0,0.08,3.3,3.38
-2.99880e-02,0.04,-0.04,3.3,3.26
-2.99872e-02,0,0.08,3.34,3.38
-2.99864e-02,-0.04,-0.04,3.34,3.3
-2.99856e-02,0,0.08,3.34,3.38
-2.99848e-02,0,-0.04,3.34,3.3
-2.99840e-02,0,0.08,3.3,3.38
-2.99832e-02,-0.04,-0.04,3.3,3.3
-2.99824e-02,0,0.08,3.3,3.38
-2.99816e-02,0,-0.04,3.3,3.26
-2.99808e-02,0.04,0.08,3.3,3.38
-2.99800e-02,0,-0.04,3.34,3.3
-2.99792e-02,0,0.08,3.3,3.38
-2.99784e-02,0,-0.04,3.3,3.3
-2.99776e-02,0.04,0.08,3.34,3.38
-2.99768e-02,0,-0.04,3.34,3.26
-2.99760e-02,0,0.08,3.34,3.38
-2.99752e-02,0,-0.04,3.34,3.26
-2.99744e-02,0,0.08,3.34,3.38
-2.99736e-02,0,-0.04,3.34,3.3
-2.99728e-02,0,0.08,3.34,3.38
-2.99720e-02,0,-0.04,3.34,3.3
-2.99712e-02,0,0.08,3.3,3.38
-2.99704e-02,0,-0.04,3.3,3.3
-2.99696e-02,0,0.08,3.34,3.38
-2.99688e-02,0,-0.04,3.34,3.3
-2.99680e-02,0,0.08,3.3,3.38
-2.99672e-02,0,-0.04,3.3,3.26
-2.99664e-02,0,0.08,3.3,3.38
-2.99656e-02,0,-0.04,3.3,3.3
-2.99648e-02,0,0.08,3.3,3.38
-2.99640e-02,0,-0.04,3.3,3.26
-2.99632e-02,0,0.08,3.34,3.38
-2.99624e-02,0,-0.04,3.34,3.26
-2.99616e-02,0,0.08,3.3,3.38
-2.99608e-02,0,-0.04,3.34,3.26
-2.99600e-02,0,0.08,3.3,3.38
-2.99592e-02,0,-0.04,3.34,3.26
-2.99584e-02,0,0.08,3.3,3.38
-2.99576e-02,0,-0.04,3.34,3.26
-2.99568e-02,0.04,0.08,3.34,3.38
-2.99560e-02,0,-0.04,3.34,3.26
-2.99552e-02,0,0.08,3.34,3.38
-2.99544e-02,0,-0.04,3.3,3.3
-2.99536e-02,0,0.04,3.3,3.38
-2.99528e-02,0.04,-0.04,3.3,3.3
-2.99520e-02,0,0.08,3.3,3.38
-2.99512e-02,0,-0.04,3.3,3.3
-2.99504e-02,0,0.08,3.34,3.38
-2.99496e-02,0,-0.04,3.34,3.26
-2.99488e-02,0,0.08,3.3,3.38
-2.99480e-02,0,-0.04,3.34,3.26
-2.99472e-02,0.04,0.08,3.34,3.38
-2.99464e-02,0,-0.08,3.3,3.3
-2.99456e-02,0,0.08,3.34,3.38
-2.99448e-02,0,-0.04,3.34,3.3
-2.99440e-02,0,0.08,3.3,3.38
-2.99432e-02,0,-0.04,3.3,3.3
-2.99424e-02,0,0.08,3.34,3.38
-2.99416e-02,0,-0.04,3.34,3.3
-2.99408e-02,0,0.08,3.34,3.38
-2.99400e-02,0.04,-0.04,3.3,3.26
-2.99392e-02,0,0.08,3.3,3.38
-2.99384e-02,0,-0.04,3.3,3.26
-2.99376e-02,0,0.08,3.3,3.38
-2.99368e-02,0,-0.04,3.3,3.3
-2.99360e-02,0,0.08,3.3,3.38
-2.99352e-02,0,-0.04,3.34,3.3
-2.99344e-02,0,0.08,3.34,3.38
-2.99336e-02,0,-0.04,3.3,3.26
-2.99328e-02,0,0.08,3.3,3.38
-2.99320e-02,0,-0.04,3.3,3.26
-2.99312e-02,0,0.08,3.34,3.38
-2.99304e-02,0,-0.04,3.34,3.26
-2.99296e-02,0,0.08,3.38,3.38
-2.99288e-02,0,-0.04,3.34,3.26
-2.99280e-02,0,0.08,3.34,3.38
-2.99272e-02,0.04,-0.04,3.34,3.3
-2.99264e-02,0,0.08,3.34,3.38
-2.99256e-02,0,-0.04,3.34,3.3
-2.99248e-02,0,0.08,3.3,3.38
-2.99240e-02,0,-0.04,3.3,3.3
-2.99232e-02,0,0.08,3.34,3.38
-2.99224e-02,0,-0.04,3.34,3.3
-2.99216e-02,0,0.08,3.34,3.38
-2.99208e-02,0,-0.04,3.34,3.3
-2.99200e-02,0,0.08,3.3,3.38
-2.99192e-02,0.04,-0.04,3.3,3.3
-2.99184e-02,0,0.08,3.34,3.38
-2.99176e-02,0,-0.04,3.3,3.3
-2.99168e-02,0,0.08,3.3,3.38
-2.99160e-02,0.04,-0.04,3.3,3.3
-2.99152e-02,0,0.08,3.34,3.38
-2.99144e-02,0,-0.04,3.3,3.26
-2.99136e-02,0,0.08,3.3,3.38
-2.99128e-02,0.04,-0.04,3.3,3.26
-2.99120e-02,0,0.08,3.34,3.38
-2.99112e-02,0,-0.04,3.34,3.26
-2.99104e-02,0,0.08,3.3,3.38
-2.99096e-02,0,-0.04,3.34,3.26
-2.99088e-02,0,0.04,3.3,3.38
-2.99080e-02,0,-0.04,3.34,3.26
-2.99072e-02,0,0.08,3.34,3.38
-2.99064e-02,0.04,-0.04,3.34,3.26
-2.99056e-02,0,0.08,3.3,3.38
-2.99048e-02,0,-0.04,3.3,3.3
-2.99040e-02,0,0.08,3.34,3.38
-2.99032e-02,0,-0.04,3.3,3.26
-2.99024e-02,0,0.08,3.34,3.38
-2.99016e-02,0,-0.04,3.3,3.26
-2.99008e-02,0,0.08,3.3,3.38
-2.99000e-02,0,-0.04,3.3,3.26
-2.98992e-02,0,0.08,3.3,3.38
-2.98984e-02,0,-0.04,3.34,3.26
-2.98976e-02,0.04,0.08,3.3,3.38
-2.98968e-02,0,-0.04,3.34,3.26
-2.98960e-02,0,0.08,3.34,3.38
-2.98952e-02,0,-0.04,3.3,3.3
-2.98944e-02,0,0.08,3.34,3.38
-2.98936e-02,0.04,-0.04,3.34,3.26
-2.98928e-02,-0.04,0.08,3.34,3.38
-2.98920e-02,0,-0.04,3.3,3.26
-2.98912e-02,0,0.08,3.34,3.38
-2.98904e-02,0,-0.04,3.34,3.26
-2.98896e-02,0,0.08,3.34,3.38
-2.98888e-02,0,-0.04,3.3,3.26
-2.98880e-02,0,0.08,3.3,3.38
-2.98872e-02,0,-0.04,3.3,3.3
-2.98864e-02,0,0.08,3.34,3.38
-2.98856e-02,0,-0.04,3.34,3.26
-2.98848e-02,0,0.08,3.3,3.38
-2.98840e-02,0,-0.04,3.34,3.26
-2.98832e-02,0,0.08,3.3,3.38
-2.98824e-02,0,-0.04,3.34,3.3
-2.98816e-02,0,0.08,3.3,3.38
-2.98808e-02,0,-0.04,3.34,3.3
-2.98800e-02,0,0.08,3.34,3.38
-2.98792e-02,0,-0.04,3.3,3.26
-2.98784e-02,0,0.08,3.3,3.38
-2.98776e-02,0,-0.04,3.34,3.3
-2.98768e-02,0,0.08,3.3,3.38
-2.98760e-02,0,-0.04,3.3,3.3
-2.98752e-02,0,0.08,3.3,3.38
-2.98744e-02,0.04,-0.04,3.3,3.26
-2.98736e-02,0,0.08,3.34,3.38
-2.98728e-02,0,-0.04,3.34,3.3
-2.98720e-02,0,0.08,3.3,3.38
-2.98712e-02,0,-0.04,3.3,3.26
-2.98704e-02,0,0.08,3.3,3.38
-2.98696e-02,0,-0.04,3.3,3.26
-2.98688e-02,0,0.08,3.34,3.38
-2.98680e-02,0,-0.04,3.3,3.26
-2.98672e-02,0,0.08,3.3,3.38
-2.98664e-02,0,-0.04,3.26,3.26
-2.98656e-02,0,0.08,3.3,3.38
-2.98648e-02,0.04,-0.04,3.34,3.26
-2.98640e-02,0,0.08,3.3,3.38
-2.98632e-02,0,-0.04,3.34,3.26
-2.98624e-02,0,0.08,3.34,3.38
-2.98616e-02,0,-0.04,3.34,3.3
-2.98608e-02,0,0.08,3.34,3.38
-2.98600e-02,0,-0.04,3.34,3.3
-2.98592e-02,0,0.08,3.34,3.38
-2.98584e-02,0.04,-0.04,3.34,3.3
-2.98576e-02,0.04,0.08,3.34,3.38
-2.98568e-02,0,-0.04,3.3,3.3
-2.98560e-02,0,0.08,3.3,3.42
-2.98552e-02,0.04,-0.04,3.3,3.3
-2.98544e-02,0,0.08,3.34,3.38
-2.98536e-02,0,-0.04,3.3,3.26
-2.98528e-02,0.04,0.08,3.3,3.38
-2.98520e-02,0.04,-0.04,3.3,3.26
-2.98512e-02,0,0.08,3.3,3.38
-2.98504e-02,0,-0.04,3.34,3.3
-2.98496e-02,0,0.08,3.3,3.38
-2.98488e-02,0,-0.04,3.3,3.26
-2.98480e-02,0,0.08,3.3,3.38
-2.98472e-02,0,-0.04,3.34,3.3
-2.98464e-02,0,0.08,3.34,3.38
-2.98456e-02,0,-0.04,3.34,3.26
-2.98448e-02,0,0.08,3.3,3.38
-2.98440e-02,0.04,-0.04,3.34,3.26
-2.98432e-02,0,0.08,3.34,3.38
-2.98424e-02,0,-0.04,3.34,3.3
-2.98416e-02,0,0.08,3.34,3.38
-2.98408e-02,0,-0.04,3.34,3.26
-2.98400e-02,0,0.08,3.3,3.38
-2.98392e-02,0,-0.04,3.3,3.26
-2.98384e-02,0.04,0.08,3.34,3.38
-2.98376e-02,-0.04,-0.04,3.34,3.3
-2.98368e-02,0,0.08,3.34,3.38
-2.98360e-02,0,-0.04,3.3,3.26
-2.98352e-02,0,0.08,3.34,3.38
-2.98344e-02,0,-0.04,3.34,3.26
-2.98336e-02,0,0.08,3.3,3.38
-2.98328e-02,0,-0.04,3.34,3.3
-2.98320e-02,0,0.08,3.34,3.38
