Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~opo8001.PrjPCB|ReportField=ProjectFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo8001v2 - No FTDI\opo8001.PrjPCB|ReportField=Title~Bill of Materials For Project [opo8001.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~109|ReportField=ReportTime~10:40:36 AM|ReportField=ReportDate~8/17/2016|ReportField=ReportDateTime~8/17/2016 10:40:36 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~William W. Huang|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~8/17/2016|ReportField=CurrentTime~10:40:23 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo8001v2 - No FTDI\bluetooth.SchDoc|ReportField=DocumentName~bluetooth.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~8/31/2015|ReportField=Organization~Altium Limited|ReportField=ProjectName~opo8001.PrjPCB|ReportField=Revision~2|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Opo8001|ReportField=DataSourceFileName~opo8001.PrjPCB|ReportField=DataSourceFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo8001v2 - No FTDI\opo8001.PrjPCB
1|Ground Antenna|Molex 2.4 GHz SMD On-Ground Antenna|ANT1, ANT2|SMD Ground Antenna|Molex Antenna|2
2|2450BM14A0002|nrf8001 chip balun|B1|2450BM14A0002|nrf8001_balun|1
3|BALUN|Johanson CC253X Balun|B2|2450BM15A0002|cc2538_Balun|1
4|15pF 0402 ceramic cap|15pF, 2%, NP0, 0402|C1, C3|0402|C_15p_0402_ceramic|2
5|Ceramic capacitor|Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 47 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 47 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package|C2, C4, C6, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C21, C23, C24, C26, C28, C30, C31, C32, C33, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52|0402|C_1u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_1u_0402_ceramic, C_47p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_47p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_1u_0402_ceramic, C_0.1u_0402_ceramic|38
6|4.7uF|4.7 uF 10% 0402 6.3V X5R ceramic cap|C5|0402|C_4.7u_0402_ceramic|1
7|33 nF Cap|33nF 10% 0402 16V X7R ceramic cap|C7|0402|C_0.033uF_0402_ceramic|1
8|2.2nF Cap|2.2nF 10% 50V X7R ceramic cap|C8|0402|C_2.2n_0402_ceramic|1
9|220pF 0402 ceramic cap|220pF 5% 50 V C0G NP0 0402 ceramic cap|C19|0402|C_220pf_0402_ceramic|1
10|13pf 0402 Cap|13pf, 50V, 2%, c0G, NP0, 0402, ceramic|C20, C22|0402|C_13p_0402|2
