Change Physical Footprint: Designator=ANT1 Old Footprint=PIFA-2.4GHz New Footprint=PIFA-2.4GHz
Change Physical Footprint: Designator=C1 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C2 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C3 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C4 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C5 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C6 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C7 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C8 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C9 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C10 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C11 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C12 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C13 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C14 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C15 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C16 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C17 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C18 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C19 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C20 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C21 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C22 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C23 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C24 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=C25 Old Footprint=1608[0603] New Footprint=1608[0603]
Change Physical Footprint: Designator=D1 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=D2 Old Footprint=J1-0603 New Footprint=J1-0603
Change Physical Footprint: Designator=D3 Old Footprint=SOD523 New Footprint=SOD523
Change Physical Footprint: Designator=J1 Old Footprint=EPIC_PROG_EDGE New Footprint=EPIC_PROG_EDGE
Change Physical Footprint: Designator=J2 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J3 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J6 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J7 Old Footprint=0360 SER New Footprint=0360 SER
Change Physical Footprint: Designator=J8 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J9 Old Footprint=0360 SER New Footprint=0360 SER
Change Physical Footprint: Designator=J10 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J11 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J12 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J13 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J14 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J23 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=J24 Old Footprint=TestPoint New Footprint=TestPoint
Change Physical Footprint: Designator=P1 Old Footprint=1x2 header New Footprint=1x2 header
Change Physical Footprint: Designator=P2 Old Footprint=1x2 header New Footprint=1x2 header
