Change Component Description : Designator=U13 Old Description=0.5 ? SPDT/2:1 Mux in SC70 New Description=0.5 ? SPDT/2:1 Mux in SC70
Change Component Description : Designator=B1 Old Description=Ultra Low Profile 0404 Balun   50? to 200? Balanced New Description=Ultra Low Profile 0404 Balun   50? to 200? Balanced
Added Component: Designator=J1(Micro USB-B)
Added Pin To Net: NetName=VBUS Pin=J1-1
Added Pin To Net: NetName=NetJ1_2 Pin=J1-2
Added Pin To Net: NetName=NetJ1_3 Pin=J1-3
Added Pin To Net: NetName=GND Pin=J1-5
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-6
Added Pin To Net: NetName=GND Pin=J1-6
Added Member To Class: ClassName=U_programming Member=Component J1 micro USB-B
