Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1 Part Number~String~Supplier 1 Part Number~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~opo_v3.PrjPcb|ReportField=ProjectFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v3\opo_v3.PrjPcb|ReportField=Title~Bill of Materials For Project [opo_v3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~103|ReportField=ReportTime~12:08:36 PM|ReportField=ReportDate~6/20/2014|ReportField=ReportDateTime~6/20/2014 12:08:36 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~William Huang|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~6/20/2014|ReportField=CurrentTime~12:04:23 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v3\accero_humid_rtc.SchDoc|ReportField=DocumentName~accero_humid_rtc.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~William Huang|ReportField=ImagePath~|ReportField=ModifiedDate~6/5/2014|ReportField=Organization~|ReportField=ProjectName~opo_v3.PrjPcb|ReportField=Revision~3.0|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Opo|ReportField=DataSourceFileName~opo_v3.PrjPcb|ReportField=DataSourceFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v3\opo_v3.PrjPcb
Ground Antenna|2.4GHz Surface Mount Device (SMD) On Ground Antenna, 50 Ohms|ANT1|Chip Antenna|Ground Antenna|1||RichardsonRFPD|FR05-S1-N-0102B
2450BM14A0002|nrf8001 chip balun|B1|2450BM14A0002|nrf8001_balun|1|712-1574-1-ND|Digikey|
BALUN|Johanson CC253X Balun|B2|Chip Balun|cc2538_Balun|1||Digikey|712-1536-1-ND
PRT-08612|2-pin JST-PH 2mm Battery Connector|BC1|JST PH 2PIN|JST-PH-2mm-2Pin|1|PRT-08612|Sparkfun|
Ceramic capacitor|Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 47 pF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 47 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package|C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C24, C26, C28, C30, C32, C35, C36, C37, C38, C40, C41, C42, C43, C44, C45, C46, C47, C48|0402|C_1u_0402_ceramic, C_1u_0402_ceramic, C_10u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_47p_0402_ceramic, C_1u_0402_ceramic, C_47p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_1000p_0402_ceramic, C_1u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic|39||Digi-Key|445-5000-1-ND, 445-5000-1-ND, 445-8919-1-ND, 445-1265-1-ND, 445-1265-1-ND, 709-1121-1-ND, 445-5000-1-ND, 709-1121-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-6846-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-5000-1-ND, 445-5000-1-ND, 445-6846-1-ND, 445-5000-1-ND, 445-6846-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-5000-1-ND, 445-5000-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND, 445-1265-1-ND
Ceramic capacitor|Ceramic capacitor, 10 uF, 0603 package|C11|0603|C_10u_0603_ceramic|1||Digi-Key|445-4112-1-ND
13pf 0402 Cap|13pf, 50V, 2%, c0G, NP0, 0402, ceramic|C23, C25|0402|C_13p_0402|2|490-8184-1-ND|Digikey|
15pF 0402 ceramic cap|15pF, 2%, NP0, 0402|C27, C29|0402|C_15p_0402_ceramic|2|490-6201-1-ND|Digikey|
4.7uF|4.7 uF 10% 0402 6.3V X5R ceramic cap|C31|0402|C_4.7u_0402_ceramic|1|445-5947-1-ND|Digikey|
33nF|33nF 10% 0402 16V X7R ceramic cap|C33|0402|C_0.033uF_0402_ceramic|1|1276-1177-1-ND|Digikey|
