Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~opo4.PrjPCB|ReportField=ProjectFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v4\opo4.PrjPCB|ReportField=Title~Bill of Materials For Project [opo4.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~113|ReportField=ReportTime~11:55:18 AM|ReportField=ReportDate~2/10/2015|ReportField=ReportDateTime~2/10/2015 11:55:18 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~William W. Huang|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/10/2015|ReportField=CurrentTime~11:55:09 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v4\bluetooth.SchDoc|ReportField=DocumentName~bluetooth.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~1/5/2015|ReportField=Organization~Altium Limited|ReportField=ProjectName~opo4.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~Opo4|ReportField=DataSourceFileName~opo4.PrjPCB|ReportField=DataSourceFullPath~C:\Users\wwhuang\Dropbox\git\opo\hardware\Opo_v4\opo4.PrjPCB
Ground Antenna|Molex 2.4 GHz SMD On-Ground Antenna|ANT1|SMD Ground Antenna|Molex Antenna|1
2450BM14A0002|nrf8001 chip balun|B1|2450BM14A0002|nrf8001_balun|1
BALUN|Johanson CC253X Balun|B2|2450BM15A0002|cc2538_Balun|1
15pF 0402 ceramic cap|15pF, 2%, NP0, 0402|C1, C3|0402|C_15p_0402_ceramic|2
Ceramic capacitor|Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 1 uF, 0402 package, Ceramic capacitor, 47 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 47 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 1000 pF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 10 uF, 0402 package, Ceramic capacitor, 0.1u, 0402 package, Ceramic capacitor, 0402, 39 pF, 5%, C0G, NP0, RF suitable, Ceramic capacitor, 0402, 39 pF, 5%, C0G, NP0, RF suitable, Ceramic capacitor, 0402, 39 pF, 5%, C0G, NP0, RF suitable|C2, C4, C6, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C21, C23, C24, C26, C28, C30, C31, C32, C33, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58|0402|C_1u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_1u_0402_ceramic, C_47p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_47p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_1000p_0402_ceramic, C_0.1u_0402_ceramic, C_0.1u_0402_ceramic, C_10u_0402_ceramic, C_0.1u_0402_ceramic, C_39pf_0402_ceramic, C_39pf_0402_ceramic, C_39pf_0402_ceramic|46
4.7uF|4.7 uF 10% 0402 6.3V X5R ceramic cap|C5|0402|C_4.7u_0402_ceramic|1
33 nF Cap|33nF 10% 0402 16V X7R ceramic cap|C7|0402|C_0.033uF_0402_ceramic|1
2.2nF Cap|2.2nF 10% 50V X7R ceramic cap|C8|0402|C_2.2n_0402_ceramic|1
220pF 0402 ceramic cap|220pF 5% 50 V C0G NP0 0402 ceramic cap|C19|0402|C_220pf_0402_ceramic|1
13pf 0402 Cap|13pf, 50V, 2%, c0G, NP0, 0402, ceramic|C20, C22|0402|C_13p_0402|2
Ceramic capacitor|Ceramic capacitor, 10 uF, 0603 package|C25, C27, C29|0603|C_10u_0603_ceramic|3
Tantalum capacitor|Tantalum capacitor, 4.7 uF, 0603 package|C34|0603 - Polar Marking|C_4.7u_0603_tantalum|1
LED, Green|LED, Green,  0402|D1|0402 - DIODE|D_LED_GREEN_0402|1
Schottky diode|Schottky diode 30 V 0.1 A 0603|D2|0603 - DIODE|D_SCHOTTKY_30V_0.1A_0603|1
Tri Color LED|LED, RGB, 0404|D3|0404|D_LED_RGB_0404|1
Ferrite Bead|Ferrite Bead, 150 mA, 0402 package|FB1|0402|FB_150mA_0402|1
micro USB-B|CONN USB MICRO B RECPT SMT R/A|J1|Micro USB-B|Micro USB|1
15nH chip inductor|15 nH, 5%, 460mOhm, 2.3Ghz, 0402 chip inductor|L1|0402|L_15nH_0402|1
10uH chip inductor|10uH, 10%, 32MHz, 468 mOhm, 0603, chip inductor|L2|0603|L_10u_0603|1
DMG1013UW|P-CHANNEL ENHANCEMENT MODE MOSFET|Q1|SC70-3|DMG1013UW|1
Si1300BDL|MOSFET N-CH D-S 20V SC-70-3|Q2|SC70-3|Si1300BDL|1
22k 0402 resistor|22k 1% .063W 0402 resistor|R1|0402|R_22k_0402|1
